Title	URL	Assignees	Status	Priority	Estimate	Size	Iteration
feat(searching): make this progress actually represend the state of processing and not mock it for some duration	https://github.com/Generacja-Cuzi/ai-present-finder/issues/123		Backlog				
docs: update BPMN	https://github.com/Generacja-Cuzi/ai-present-finder/issues/64		Todo			S	MVP Iteration
feat(searching): make this glow/animate	https://github.com/Generacja-Cuzi/ai-present-finder/issues/121	Rei-x	Todo			XS	Deploy Iteration
feat: add google products			Todo				
feat: add chosen preset to feeback			Todo				
feat: better UI (especially on desktop)	https://github.com/Generacja-Cuzi/ai-present-finder/issues/154		Todo				
feat: better auth UI			Todo				
feat: add history tracking	https://github.com/Generacja-Cuzi/ai-present-finder/issues/177	unewMe	Done			M	Deploy Iteration
feat: add multi reviews	https://github.com/Generacja-Cuzi/ai-present-finder/issues/180	unewMe	Done			M	Deploy Iteration
fix(recommendations): change dollars to PLN	https://github.com/Generacja-Cuzi/ai-present-finder/issues/143	D0dii	Done			XS	Deploy Iteration
feat: ask for budget before starting		unewMe	Done				
fix: translate app to polish	https://github.com/Generacja-Cuzi/ai-present-finder/issues/148	D0dii	Done			S	Deploy Iteration
feat: add nice landing page	https://github.com/Generacja-Cuzi/ai-present-finder/issues/122	D0dii	Done				
feat(chat): prompt engineering	https://github.com/Generacja-Cuzi/ai-present-finder/issues/30	simon-the-shark	Done			L	Deploy Iteration
feat: seo	https://github.com/Generacja-Cuzi/ai-present-finder/issues/160	Rei-x	Done				
UI designs	https://github.com/Generacja-Cuzi/ai-present-finder/issues/46	Rei-x	Done				POC iteration
feat: add auth on frontend	https://github.com/Generacja-Cuzi/ai-present-finder/issues/110	D0dii	Done			M	MVP Iteration
POC scrapera Facebooka, Instagrama i Tiktoka	https://github.com/Generacja-Cuzi/ai-present-finder/issues/8	Rei-x	Done			XL	POC iteration
refactor: move gift search to new services	https://github.com/Generacja-Cuzi/ai-present-finder/issues/42	unewMe	Done			L	MVP Iteration
add solvro config	https://github.com/Generacja-Cuzi/ai-present-finder/issues/16	Rei-x	Done			S	POC iteration
